author_did,author_handle,author_display_name,created_at,text,langs,cid,indexed_at,like_count,reply_count,repost_count,prob_toxic,label_toxic,prob_affinity,label_affinity,prob_compassion,label_compassion,prob_constructive,label_constructive,prob_curiosity,label_curiosity,prob_nuance,label_nuance,prob_personal_story,label_personal_story,prob_alienation,label_alienation,prob_fearmongering,label_fearmongering,prob_generalization,label_generalization,prob_moral_outrage,label_moral_outrage,prob_power_appeal,label_power_appeal,prob_scapegoating,label_scapegoating
did:plc:xraomsuf6pvh7r2cqtdwhkvm,swiftonsecurity.com,SwiftOnSecurity,2024-02-03T00:44:24.992Z,"In my hands is my first iPod. Steve Jobs is smiling at me. Everybody at the Apple Store is smiling.

I take off my Apple Vision. I am back in the retirement home. Nobody has visited me for 12 years. I put it back on.

I hold my iPod. Everybody in the Apple Store is smiling.",['en'],bafyreigxnolgt7y5t5dmnbkgsophkakk3nex3msqru2qt7gdwrsrsycqxq,2024-02-03T00:44:24.992Z,933,31,155,0.01847211,0,0.14617938,0,0.19467822,0,0.40493944,0,0.121852994,0,0.32800898,0,0.57803637,1,0.26343483,0,0.26166525,0,0.19229555,0,0.2751197,0,0.1230058,0,0.09122925,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T23:53:49.606Z,gremlin employee,['en'],bafyreigyvjx5ktxqy7j2c46ss3ojpbxdm7khfhmwen2dn2jok3g5jujuhq,2024-02-02T23:53:49.606Z,7,0,1,0.02402467,0,0.10620111,0,0.1773599,0,0.11541978,0,0.17362319,0,0.101293065,0,0.22532175,0,0.2372857,0,0.24661373,0,0.20577107,0,0.28399453,0,0.19324528,0,0.1524859,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:59:59.480Z,it's a whole suite of gremtivities,['en'],bafyreifnsbplt7bxhxbakjahvio25w6vlsfnvn56lh2aa43eewntezn73m,2024-02-02T22:59:59.480Z,8,0,1,0.15822013,0,0.12266275,0,0.109879166,0,0.120124124,0,0.10001081,0,0.08330312,0,0.13315964,0,0.17845018,0,0.21766844,0,0.13670906,0,0.2584794,0,0.09868214,0,0.0945853,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:54:08.537Z,yeah. she's gremlin,['en'],bafyreignjift6mcnwwrzp3uulnaju7gvjykhyup3hhkq6afgb6wgmpd65u,2024-02-02T22:54:08.537Z,4,1,0,0.15600902,0,0.17910267,0,0.26395148,0,0.106011115,0,0.22539337,0,0.101293065,0,0.24350151,0,0.26343483,0,0.24661373,0,0.16197565,0,0.2751197,0,0.16845487,0,0.13439196,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:53:42.168Z,"I never read the book but I think a movie might go something like

FADE IN
a burning war-torn hellscape. WARREN PEACE, a grizled veteran smoking a cigar, surveys the carnage

WARREN: let's get [cocks shotgun] philosophical",['en'],bafyreied6vonn4p6c56jznnj7hf5pkioscrl2cl4lgsmlrhlzddneufkby,2024-02-02T22:53:42.168Z,34,3,4,0.4014846,0,0.23298477,0,0.16139136,0,0.37658563,0,0.21344641,0,0.33893642,0,0.356216,0,0.2961212,0,0.2963996,0,0.20577107,0,0.32171252,0,0.16845487,0,0.2140053,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:44:08.564Z,her essence does,['en'],bafyreif2o3jonjt5dxijm25i3ruefx3dphz5vorm43biseuf3av3yt6rse,2024-02-02T22:44:08.564Z,0,1,0,0.048842013,0,0.11560776,0,0.13885477,0,0.13423713,0,0.25326964,0,0.11856762,0,0.14266017,0,0.15230106,0,0.23156218,0,0.17545117,0,0.24294843,0,0.102347136,0,0.0945853,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:41:24.701Z,"oh well I dont get to control this, the kitty is the decider",['en'],bafyreif6np33o5oxvuynr5b7lyiq4po4h6iywt2pshchgcpxxovxnxladq,2024-02-02T22:41:24.701Z,7,2,0,0.051810697,0,0.063871175,0,0.14851332,0,0.08131335,0,0.09344797,0,0.057154667,0,0.2144139,0,0.20459929,0,0.23850904,0,0.13670906,0,0.2584794,0,0.26761648,0,0.08836041,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:22:09.609Z,what kind are you,['en'],bafyreicshpj4t4ri2sos73dgqg5sorxxfefuxgzjgoctlfrzmyezinag7u,2024-02-02T22:22:09.609Z,1,1,0,0.057005897,0,0.12971774,0,0.26395148,0,0.11071545,0,0.49693537,0,0.13584217,0,0.24350151,0,0.11961466,0,0.23850904,0,0.111442484,0,0.22852683,0,0.09868214,0,0.08606533,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:16:29.341Z,that settles it,['en'],bafyreibqobq27hgroooynyn4yhsad4ee6n57phr3eb2z3mxjozjr6jfl7u,2024-02-02T22:16:29.341Z,49,9,5,0.024260364,0,0.2024268,0,0.30724725,0,0.13423713,0,0.30137506,0,0.14102453,0,0.2762251,0,0.16537562,0,0.26166525,0,0.19229555,0,0.2584794,0,0.19324528,0,0.11267924,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:15:07.138Z,some really tough calls here,['en'],bafyreidmt62msfpbbo5lt37xbdkji3fgducv2v2yydkdvnbnhzxju5qbte,2024-02-02T22:15:07.138Z,12,4,0,0.021785567,0,0.2024268,0,0.30724725,0,0.14416134,0,0.28138927,0,0.13584217,0,0.24350151,0,0.17845018,0,0.26166525,0,0.15018459,0,0.24294843,0,0.102347136,0,0.0945853,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:13:59.002Z,this might get controversial,['en'],bafyreigrpgv7iarlksm5ebfw7dngpv6ruir2glavhjuegajv4wsuukdt3e,2024-02-02T22:13:59.002Z,18,3,0,0.027913637,0,0.14617938,0,0.1773599,0,0.11541978,0,0.22539337,0,0.11338525,0,0.14266017,0,0.16537562,0,0.23850904,0,0.15018459,0,0.22852683,0,0.09868214,0,0.09122925,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-02T22:12:23.134Z,what is kitty,['en'],bafyreih5lfzvijvx2m55owjurxwfylndkio755q2upzpwqxnawraxtcupq,2024-02-02T22:12:23.134Z,35,8,3,0.030859824,0,0.17910267,0,0.3592022,0,0.13423713,0,0.4312827,0,0.15311672,0,0.23259366,0,0.21767385,0,0.26976994,0,0.23609097,0,0.28399453,0,0.14779621,0,0.11267924,0
